nom;perissable;conservation;prix_revente_kilo;lieu_achat;lieu_vente
Epinards;true;1781-04-05;1.89;Malabo;Bata
Celeri branche;true;1768-03-20;1.10;Bordeaux;Madrid
Persil;true;1767-01-01;1.15;Sines;Immingham
Potiron;true;1755-09-10;1.50;Port-au-Prince;Fort-de-France
Courgettes;true;1781-02-01;1.34;Namiba;Le Cap
Avocat;true;1702-04-20;9.52;Louisbourg;Georgetown
Avocat;true;1768-03-24;9.45;Immingham;Bordeaux
Avocat;true;1702-04-17;9.59;Quebec;Georgetown
Tomate;true;1745-04-20;2.94;Madrid;Pointe a Pitre
Concombre;true;1713-08-14;2.59;Fort-de-France;Le Cap
Noix;true;1754-06-10;4.58;Calcutta;Shanghai
Noix;true;1754-06-10;4.55;Calcutta;Kyoto
Citron jaune;true;1705-07-06;1.59;Marseilles;Dakar
Citron vert;true;1745-06-02;1.69;Lisbonne;Pointe a Pitre
Orange;true;1778-12-03;2.45;Le Havre;Georgetown
Beurre;true;1778-11-17;7.63;Madrid;Georgetown
Sel;false;;7.63;Madrid;Georgetown
Chandelles;false;;7.63;Madrid;Georgetown
Parfum;true;1778-11-17;7.63;Madrid;Georgetown
Savons;false;;7.63;Madrid;Georgetown
Sucre;false;;7.63;Madrid;Georgetown
Rhum;false;;7.63;Madrid;Georgetown
Cafe;false;;7.63;Madrid;Georgetown
Tabac;false;;7.63;Madrid;Georgetown
Ail;true;1778-11-17;7.63;Madrid;Georgetown
Oignon;true;1778-11-17;7.63;Madrid;Georgetown
Cereales;true;1778-11-17;7.63;Madrid;Georgetown
Pates;true;1778-11-17;7.63;Madrid;Georgetown
Riz;true;1778-11-17;7.63;Madrid;Georgetown
Farine;true;1778-11-17;7.63;Madrid;Georgetown
Carotte;true;1778-11-17;7.63;Madrid;Georgetown
Poireau;true;1778-11-17;7.63;Madrid;Georgetown
Banane;true;1778-11-17;7.63;Madrid;Georgetown
Kiwi;true;1778-11-17;7.63;Madrid;Georgetown
Poire;true;1778-11-17;7.63;Madrid;Georgetown
Pomme;true;1778-11-17;7.63;Madrid;Georgetown
Mangue;true;1778-11-17;7.63;Madrid;Georgetown
Pomme de terre;true;1778-11-17;7.63;Madrid;Georgetown
Semoule;true;1778-11-17;7.63;Madrid;Georgetown
Haricots;true;1778-11-17;7.63;Madrid;Georgetown
Feves;true;1778-11-17;7.63;Madrid;Georgetown
Lentilles;true;1778-11-17;7.63;Madrid;Georgetown
Petit pois;true;1778-11-17;7.63;Madrid;Georgetown
Chou rouge;true;1778-11-17;7.63;Madrid;Georgetown
Chou-fleur;true;1778-11-17;7.63;Madrid;Georgetown
Choux de Bruxelles;true;1778-11-17;7.63;Madrid;Georgetown
Laitue;true;1778-11-17;7.63;Madrid;Georgetown
Epinards;true;1778-11-17;7.63;Madrid;Georgetown
Celeri branche;true;1778-11-17;7.63;Madrid;Georgetown
Persil;true;1778-11-17;7.63;Madrid;Georgetown
Potiron;true;1778-11-17;7.63;Madrid;Georgetown
Courgettes;true;1778-11-17;7.63;Madrid;Georgetown
Avocat;true;1778-11-17;7.63;Madrid;Georgetown
Tomate;true;1778-11-17;7.63;Madrid;Georgetown
Concombre;true;1778-11-17;7.63;Madrid;Georgetown
Noix;true;1778-11-17;7.63;Madrid;Georgetown
Citron jaune;true;1778-11-17;7.63;Madrid;Georgetown
Citron vert;true;1778-11-17;7.63;Madrid;Georgetown
Ail;true;1725-07-02;2.99;Le Havre;Hambourg
Pomme de terre;true;1724-11-30;1.75;Hambourg;Le Havre
Ail;true;1726-07-03;2.99;Le Havre;Hambourg
Pomme de terre;true;1725-12-02;1.75;Hambourg;Le Havre
Ail;true;1727-07-04;2.99;Le Havre;Hambourg
Pomme de terre;true;1726-12-03;1.75;Hambourg;Le Havre
Ail;true;1728-07-02;2.99;Le Havre;Hambourg
Pomme de terre;true;1727-12-04;1.75;Hambourg;Le Havre
Ail;true;1729-07-02;2.99;Le Havre;Hambourg
Pomme de terre;true;1728-12-02;1.75;Hambourg;Le Havre
Ail;true;1730-07-03;2.99;Le Havre;Hambourg
Pomme de terre;true;1729-11-30;1.75;Hambourg;Le Havre
Cereales;true;1725-07-02;7.63;Le Havre;Hambourg
Laitue;true;1724-11-30;7.63;Hambourg;Le Havre
Cereales;true;1726-07-03;7.63;Le Havre;Hambourg
Laitue;true;1725-12-02;7.63;Hambourg;Le Havre
Cereales;true;1727-07-04;7.63;Le Havre;Hambourg
Laitue;true;1726-12-03;7.63;Hambourg;Le Havre
Cereales;true;1728-07-02;7.63;Le Havre;Hambourg
Laitue;true;1727-12-04;7.63;Hambourg;Le Havre
Cereales;true;1729-07-02;7.63;Le Havre;Hambourg
Laitue;true;1728-12-02;7.63;Hambourg;Le Havre
Cereales;true;1730-07-03;7.63;Le Havre;Hambourg
Laitue;true;1729-11-30;7.63;Hambourg;Le Havre
